data;

set T := R C I;         # Types
set O := Cleaning Cooking Packing;      # Operations

param W := 52;          # Number of weeks
param H := 1;           # Hold cost 
param B := 2;           # Backlog Cost
param S := 5000;        # Setup Cost
param M := 2000;        # Big M
param F :              R   C   I   :=
        1              108 59  16
        2              106 55  21
        3              109 59  16    
        4              106 60  22
        5              113 57  17
        6              114 62  23
        7              110 64  20
        8              111 65  22
        9              110 61  24
        10             114 63  26
        11             119 70  29
        12             116 68  31
        13             116 69  23
        14             123 65  28
        15             119 71  34
        16             123 70  30
        17             126 69  27
        18             126 71  37
        19             123 76  29
        20             129 71  31
        21             121 78  35
        22             128 78  33
        23             124 73  39
        24             131 77  38
        25             131 81  35
        26             128 80  36
        27             128 79  42
        28             131 86  47
        29             130 82  42
        30             134 87  49
        31             140 89  43
        32             134 90  47
        33             134 89  43
        34             137 93  51
        35             138 88  50
        36             107 51  18
        37             105 51  17
        38             106 50  15
        39             103 52  12
        40             101 53  10
        41             107 51  10
        42             104 59  17
        43             106 58  13
        44             100 59  18
        45             108 59  11
        46             101 59  19
        47             105 53  14
        48             108 59  15
        49             100 59  17
        50             109 54  17
        51             101 59  17
        52             107 52  17  ;


param P : R       C       I       :=
        Cleaning                1000    1535    1750
        Cooking                 1850    850     1200
        Packing                 750     1500    2000    ;       # Production Lines Capacity

end;
